"","Date","B.1.617.2_Rt","B.1.617.2_rtlowci","B.1.617.2_rtupci","AY.3_Rt","AY.3_rtlowci","AY.3_rtupci","AY.25_Rt","AY.25_rtlowci","AY.25_rtupci","AY.39_Rt","AY.39_rtlowci","AY.39_rtupci","AY.44_Rt","AY.44_rtlowci","AY.44_rtupci"
"37",2021-09-01,1.1338223729039,1.07561714610239,1.2002999241068,1.24414451249291,1.13630170321327,1.36223675340869,1.22946467801418,1.12289526097917,1.34003152511927,1.31519971612951,1.13094290119782,1.52155476067057,1.13016095596115,1.06601168454708,1.20199185248253
"38",2021-09-02,1.12556324036482,1.0703793250749,1.18832705786203,1.22899642212015,1.12756829886913,1.34084321161489,1.21103954571747,1.1131322845162,1.31259279501665,1.27372971421789,1.10699459113379,1.46081728116488,1.11143286669579,1.05429273278053,1.17558269128933
"39",2021-09-03,1.11688940260668,1.06505412927103,1.17611256820944,1.21336879561012,1.11915388024474,1.31883478222344,1.19331707543856,1.10389914506227,1.28640671816354,1.23449714734896,1.08427073981551,1.40420402779234,1.09328541251998,1.04239340494344,1.1503135465679
"40",2021-09-04,1.10870500519771,1.06071698429798,1.16404005211657,1.19876831500666,1.11075371030162,1.29667787698806,1.17676357223267,1.09549294444598,1.26180816757189,1.20272734309682,1.06597208217906,1.35611701430527,1.07630275213571,1.03097755821295,1.12645967968523
"41",2021-09-05,1.10125792520397,1.05685443012118,1.15262558462191,1.18442338293453,1.10218737415517,1.2748866600578,1.16133971387588,1.08746453784761,1.23858553497067,1.17823668953079,1.05289705055489,1.3165020607948,1.06234605601602,1.02165430494003,1.10660046182
"42",2021-09-06,1.09442755171254,1.0528196876112,1.14218148100976,1.16930422064722,1.09337556609131,1.25352401082958,1.14659233507278,1.07928679092023,1.21724733644681,1.15805780152302,1.04270990642093,1.28451261145314,1.05190906071333,1.01504793227125,1.09160815513345
"43",2021-09-07,1.08765742404349,1.04901446637889,1.13214989353073,1.15376054572988,1.0842850003422,1.23107774864928,1.13212949937902,1.07108016757057,1.19674416593173,1.14175402743195,1.03275957574461,1.26049494483776,1.04423458158533,1.01011428806161,1.08050788739425
"44",2021-09-08,1.08084045380898,1.04503808092317,1.1221699548264,1.13792360496883,1.07478655718607,1.20812484558644,1.1175908899248,1.06290106182494,1.17599458358213,1.12757314320552,1.02416696231507,1.23926874051332,1.03836385325322,1.00612444004443,1.07247361399465
"45",2021-09-09,1.07397665886922,1.04054377298833,1.11207751440434,1.12163210976715,1.06465249258702,1.18532953986284,1.10265874761247,1.0541089137226,1.15538050192727,1.11481422443854,1.01655104949484,1.21987203894499,1.0336292779923,1.00270449341677,1.06626581037083
"46",2021-09-10,1.06685750372962,1.03615560629758,1.10185799837744,1.10445948181896,1.053634753834,1.16161074163937,1.0872652270049,1.04472202554308,1.13444030021981,1.10241361136845,1.00801314400284,1.20269051065061,1.02949939780391,0.999509580232933,1.06071664638909
"47",2021-09-11,1.05906709213427,1.03136705985498,1.09090575234449,1.0869911012709,1.0423333965209,1.13749423309336,1.07169541379604,1.03509886200129,1.11305904028287,1.09274109060578,1.00043346870854,1.19169430398746,1.02574213516055,0.996284618246733,1.05570287159181
"48",2021-09-12,1.05014853630524,1.02550366148024,1.07883311276705,1.06987016315229,1.03112550617697,1.1139218717065,1.05706763342057,1.02585477947714,1.09310390793377,1.10576922655039,1.01488700995894,1.20270147690136,1.02240547087123,0.993348951139616,1.05171937093678
"49",2021-09-13,1.039834685419,1.01822208608393,1.06539946945817,1.05343573998073,1.02002809858796,1.09146592548542,1.04346952037151,1.01685731681727,1.07446160619346,1.13663997967078,1.04526228963623,1.23365083856451,1.01947122382639,0.990906628533444,1.04834792721325
"50",2021-09-14,1.0285288542129,1.01006810776602,1.0506211309347,1.03719651353798,1.00826285484513,1.06962663969074,1.03055833096003,1.00773749313317,1.05683921671987,1.17610585155578,1.07958066411008,1.2765723171125,1.01687834192638,0.988801127336833,1.04539261862825
"51",2021-09-15,1.01647177701125,1.00097326952658,1.03488550211435,1.02097843133548,0.99546117425348,1.04864259468123,1.01799023913603,0.998112271537337,1.04016960275141,1.21797141597051,1.11124507096827,1.32579476051058,1.01459662233818,0.986841946014057,1.04279059332504
"52",2021-09-16,1.00378589201394,0.990612864721369,1.01871986060524,1.00462884867618,0.981380583806228,1.02885915100151,1.00554547663411,0.987625871109234,1.02470865766914,1.25707021986067,1.13635855023194,1.37613208540255,1.01273093535919,0.985081471283505,1.0406003509905
"53",2021-09-17,0.990529113472117,0.978640123148823,1.00301572631071,0.987793529673657,0.965799348505864,1.01024044032164,0.993115044633806,0.976162115613206,1.0105488506638,1.290412263971,1.15559903379179,1.42190860419727,1.01127314130738,0.983687095312835,1.03906966802242
"54",2021-09-18,0.976954914494754,0.965117741454716,0.989250964859229,0.971090210465768,0.949120977618066,0.993649339164762,0.980758424204549,0.963822786072154,0.997922044131766,1.31714467090733,1.1679548188166,1.46007382935123,1.00961032722872,0.982085342365681,1.03744323972559
"55",2021-09-19,0.963344408383957,0.950197529777535,0.978347268521246,0.955306867566939,0.932003934510902,0.979849116882904,0.969010984664338,0.951225340152908,0.987567928273408,1.3380791789933,1.17733266820575,1.49424882982463,1.00693474156881,0.979462677411454,1.03467139404681
"56",2021-09-20,0.949844334497485,0.93403010756157,0.968838249018478,0.940739090205224,0.915297664481422,0.968258081641788,0.958063079848272,0.93871304163706,0.979164672251793,1.35434656482065,1.18501646608786,1.52171024197359,1.00266355711662,0.975254182061687,1.03011399209002
"57",2021-09-21,0.936496092898677,0.917084560030116,0.960028936852988,0.927248792101399,0.899271468050206,0.958385012715306,0.947830543783665,0.926526494567983,0.971979410641888,1.36652752497184,1.19081490984274,1.54259999086405,0.997154170358178,0.969878529585718,1.0245523237068
"58",2021-09-22,0.923350841030591,0.899922870141469,0.951580023187129,0.914756128423591,0.884120881157735,0.949864396013664,0.938305241221263,0.914933516273466,0.965479700967631,1.37579730547524,1.19486779439305,1.55855540207075,0.990910057753662,0.963761608937306,1.01828288231185
"59",2021-09-23,0.910566299839387,0.883055873962091,0.943227254236385,0.903596677331532,0.870260927417901,0.942381398676596,0.929818639957137,0.904221184240193,0.959895649711718,1.38433315910411,1.19868661786061,1.57114027191665,0.984205543902516,0.957106879400105,1.01161267368274
