"","Date","B.1.617.2_Rt","B.1.617.2_rtlowci","B.1.617.2_rtupci","AY.4_Rt","AY.4_rtlowci","AY.4_rtupci","AY.3_Rt","AY.3_rtlowci","AY.3_rtupci","AY.25_Rt","AY.25_rtlowci","AY.25_rtupci","AY.33_Rt","AY.33_rtlowci","AY.33_rtupci","AY.26_Rt","AY.26_rtlowci","AY.26_rtupci"
"30",2021-08-25,1.17591615935502,1.10076250116122,1.2611278053914,1.08248249525165,1.03644461694226,1.12945389920805,1.27160264012965,1.16104006523674,1.38618412177662,1.33246558699667,1.17153775085818,1.51738006776576,1.2754465825364,1.16528366049931,1.3956229241382,1.32977291848975,1.17260864421947,1.49893985739507
"31",2021-08-26,1.17189763044254,1.09891113525428,1.25467902874534,1.10485737041791,1.05521031422538,1.15403790503186,1.28033183759312,1.16485271761654,1.40140237390959,1.31769826069072,1.16473945407296,1.49381727590049,1.28450245023289,1.16968711775899,1.4125190713026,1.33352806884737,1.1760832345563,1.50180109408875
"32",2021-08-27,1.16808803749147,1.09692321113869,1.24870847468034,1.13041855225396,1.07451025307583,1.18388966758643,1.2863692107198,1.16690686318984,1.41235675122161,1.30400665684821,1.15834052625992,1.47205699659547,1.29067137078576,1.1722015243483,1.42555947034061,1.33707663799018,1.17792403777564,1.5046604654659
"33",2021-08-28,1.16448153362316,1.09457708446532,1.24312957110396,1.15704368124246,1.09228554475855,1.21762609846245,1.28891711472606,1.1669688775187,1.41867259961004,1.29101334250565,1.15247918552352,1.44978263417312,1.29319338717724,1.17243149227496,1.43325788181248,1.33873462860272,1.17769414400334,1.50670817110466
"34",2021-08-29,1.16086153419384,1.09210933888984,1.23823729447431,1.18592492293904,1.11077790168431,1.25548548329942,1.2874065609315,1.16506771351897,1.42028271331213,1.27781741853436,1.14587180535895,1.42701792687523,1.29201633429399,1.17058883040216,1.43448448514301,1.33729267754905,1.17720772633986,1.50638228945524
"35",2021-08-30,1.15707564612907,1.08984833367897,1.23232587287504,1.21701119745731,1.12939388464214,1.29771466276994,1.2829446199891,1.16032435101454,1.41616098688318,1.26406070181668,1.13875503196887,1.40608553092082,1.28755548129523,1.16708905748321,1.43046687460234,1.33346322802092,1.17495342871667,1.50270410484357
"36",2021-08-31,1.15294623289931,1.08827354940073,1.22593021857339,1.24923514808787,1.14756139099704,1.34355461278795,1.27643092166229,1.15590340273305,1.40818956241618,1.25005439098299,1.13150651077014,1.38355901228945,1.28104388745318,1.16258131163858,1.42323409814983,1.32827079317128,1.17128923611764,1.49561529452151
"37",2021-09-01,1.14833298104265,1.08527207587576,1.21923809026235,1.28178110063135,1.16551707559232,1.39148285757102,1.2682191338845,1.15125091833252,1.39730354108486,1.2356480480979,1.12393624345284,1.36155295446028,1.27263786177725,1.15721858164302,1.41277149769253,1.32193765359935,1.16729039601096,1.48640616231561
"38",2021-09-02,1.14319355061802,1.08145059479262,1.21207720455311,1.31295267572733,1.18153797135973,1.43877337333567,1.25858114874719,1.14570571978961,1.38420450087327,1.22079170448777,1.11610327118926,1.33979189474914,1.26278615221656,1.15134551081937,1.39952087099378,1.31451784083252,1.16360729642303,1.47590195236807
"39",2021-09-03,1.13759450627654,1.07804213619609,1.20435848167751,1.34036163732539,1.19354011900989,1.48218219877094,1.24808703989812,1.13971186217795,1.36983449428498,1.20591289736854,1.10830120624961,1.31754998166249,1.25221503358973,1.14534301670197,1.3839717938551,1.306067928862,1.16020375770314,1.4642270878708
"40",2021-09-04,1.13224771017514,1.07534971744916,1.19674146504327,1.36028126184126,1.20044076094434,1.51734312981974,1.23789680116492,1.13510836485902,1.35512281344869,1.19238831548634,1.10122536953685,1.29636794169498,1.24176319538768,1.13935030948766,1.36663028493035,1.29671420016151,1.15571941550049,1.45024938030284
"41",2021-09-05,1.12855195416839,1.07392794140567,1.19064475721042,1.3707688268783,1.20239301191442,1.54012065859326,1.22742456374061,1.12910215241604,1.33896867346662,1.17956691655112,1.09491883801538,1.27608165566464,1.23119171605796,1.13336952926877,1.35000867527153,1.28681896833001,1.15131433862995,1.43486031244167
"42",2021-09-06,1.1259699415857,1.07309041614085,1.18550715916304,1.37306559160597,1.20062965848739,1.55093394941851,1.21656948815041,1.12275724463384,1.32206769798718,1.16715637984742,1.08855543350862,1.25591895222559,1.22021955974586,1.12726839874935,1.33278620248202,1.2762790956013,1.14601112695721,1.41847300901934
"43",2021-09-07,1.12397558374062,1.07230633403119,1.18179972459208,1.36897183550771,1.19608509164605,1.55094169141029,1.2051461719588,1.11625874474858,1.30530409240915,1.1546793022387,1.08201545961307,1.23679114329259,1.20848669616082,1.120522793195,1.31554489799761,1.26495335392355,1.13918942063505,1.4017033037512
"44",2021-09-08,1.1221351998306,1.07136877480435,1.17857682471634,1.35988218343417,1.18957895052998,1.54170609221601,1.19297999276275,1.109178723919,1.28792828603721,1.14186999388973,1.07507731240364,1.21788314726049,1.19605624542351,1.11305543987381,1.29736280050293,1.25293229130067,1.13146413367827,1.38446994936416
"45",2021-09-09,1.11997478760979,1.07013611463152,1.17481972447229,1.34700996621344,1.18190865973689,1.52508208880798,1.17994627844737,1.10134085089551,1.26908113910403,1.12861886108708,1.06748054845857,1.1983396260118,1.18294704305391,1.10492932735053,1.27725887592451,1.24040087796973,1.12397045523446,1.36644419144632
"46",2021-09-10,1.11721643890169,1.06851847471476,1.17109003904264,1.33134874696445,1.1737936156236,1.50357851561192,1.16612259528098,1.09324301027461,1.24912136400499,1.11476043620618,1.0592314871236,1.17843577648799,1.16882335718718,1.09614612994459,1.2562972751785,1.22757359763523,1.11780444419406,1.34716714065026
"47",2021-09-11,1.11387181507678,1.06599996702474,1.16686517775533,1.31525890874631,1.16639042763358,1.48044463619581,1.15159528112212,1.08429576598913,1.22835851393457,1.09989905498555,1.05077108424469,1.15684040952253,1.15398328495903,1.0865353111802,1.2348144170892,1.21352122787983,1.10993922235882,1.32566332400182
"48",2021-09-12,1.10774169999408,1.06122086127392,1.15887055998568,1.30367120653013,1.16170362461472,1.46018494673286,1.13529575549014,1.07394272773371,1.20576340817371,1.08631416649927,1.04294742473419,1.13733948868573,1.13756851227558,1.0759299666344,1.21157723768098,1.19531614560594,1.09769741924845,1.2998886432645
"49",2021-09-13,1.09927230534107,1.05508758276446,1.14859099349516,1.29629853437907,1.15987213748437,1.44514579514524,1.11785269703744,1.06275520796009,1.18171051793011,1.07347550057225,1.03569863682181,1.11871451305771,1.11980169268985,1.0644115254421,1.1865915854221,1.17276013595733,1.08262407455774,1.269511410844
"50",2021-09-14,1.08889437373646,1.04806035137055,1.13567448461151,1.29129251893101,1.1593383998598,1.43414374390642,1.09935484449996,1.05088930227533,1.15648814318824,1.06097522592695,1.02839729829169,1.10045843372711,1.10097926897639,1.05194911698834,1.16048393738915,1.14726404647045,1.06630957374736,1.23586120806384
"51",2021-09-15,1.07685296057374,1.04020289719971,1.1195372172806,1.28696465904036,1.15849167988095,1.42524742216195,1.07972510650348,1.03810202482422,1.12999269546654,1.04860276206169,1.02046269185266,1.0826373095741,1.08121708323905,1.03846784325463,1.13346977191061,1.12013074353521,1.04950945603846,1.20011429371549
"52",2021-09-16,1.06359975628324,1.03143968799823,1.10174530190071,1.28215748920629,1.15652195674,1.41664859247318,1.05938114532981,1.02376454005521,1.10197896482471,1.03597051883364,1.01180909509552,1.06508082474364,1.06049982340168,1.02394552621494,1.10471636760925,1.09164796943482,1.03095802398488,1.16193716262485
"53",2021-09-17,1.04951580025206,1.0223796426812,1.08270954135625,1.2756661470001,1.15247296764889,1.40672245131321,1.03860210478319,1.00849716301974,1.07425622262471,1.02313053341472,1.00236023311587,1.04764974882647,1.03939883528918,1.00851235938143,1.07578668780973,1.06238515864045,1.0100061645431,1.12225226845651
"54",2021-09-18,1.03457120277306,1.01273366041728,1.06235166620845,1.26661779414276,1.14637469566982,1.39379651498304,1.01734405880214,0.992082452948499,1.04657693705156,1.00994303708787,0.9919182168845,1.03014729963128,1.01801739263048,0.992331397451225,1.04786394469481,1.03283700342504,0.987306289601928,1.08399019060268
"55",2021-09-19,1.01882971818287,1.00162048998223,1.0410652257131,1.25299364845584,1.13703279008003,1.37607992698529,0.997713809131098,0.975161892545779,1.021958915947,0.997441506423875,0.980805533077172,1.01525469477952,0.998111350135866,0.975668392192196,1.02279872106999,1.00604665020178,0.965086296258535,1.04996331487726
"56",2021-09-20,1.00241673712206,0.988497155096973,1.01939374638571,1.23550659088753,1.12575718528252,1.35352114837024,0.979809658962317,0.958102965464319,1.00159102099137,0.985773617037206,0.969362670445156,1.00293875812514,0.979811803540647,0.958575236118756,1.00171425395865,0.98200709514757,0.943422742454447,1.02145512712377
"57",2021-09-21,0.985447743543167,0.97304792538513,0.998458981386844,1.21565078450171,1.11427274556514,1.32678508645594,0.963080852993616,0.940945428846979,0.985447815165341,0.974802548449825,0.957840180623489,0.992624416726678,0.962796123558926,0.941067454978021,0.985098097165633,0.959805686480335,0.92172592943532,0.998762042758845
"58",2021-09-22,0.967959979243004,0.955285064210616,0.98110229134841,1.19468799808391,1.10278498086571,1.29735804662145,0.947200109059222,0.923320605826678,0.972131661218825,0.96462007785585,0.946398546708336,0.984720088460414,0.946921952677795,0.923272547401094,0.971762625319766,0.938893383505745,0.899581667058521,0.980034786130582
"59",2021-09-23,0.950082637642254,0.935153074805521,0.967783367797682,1.17325506296219,1.09084843555536,1.26626452255916,0.932052341191585,0.905749320399997,0.960907200518889,0.955369241664895,0.935490337195631,0.978001524886121,0.93150392271558,0.905347412064252,0.959937191167787,0.918777474593444,0.877255982371206,0.963851755599794
"60",2021-09-24,0.932484741227196,0.913624560325366,0.956129933035778,1.15110932804835,1.07814485494413,1.23419739521569,0.917610759623799,0.888590305480784,0.950199727757638,0.946544116643265,0.92482859753323,0.971943202648483,0.916861772029644,0.88740772130688,0.949393431591616,0.899195856091244,0.855055559536132,0.948591421654364
"61",2021-09-25,0.914983747265258,0.891202913773561,0.944869712637915,1.12902606374082,1.0654597264427,1.20224979070815,0.903352350047672,0.871009167844554,0.939810124944891,0.937712346957822,0.913568923711999,0.965895506273116,0.902256174245479,0.869345093624391,0.938921143207608,0.879778227956715,0.832518222725863,0.933947586287049
